BoroCD,CD_name,borough,CD_area,alive,tree_count,tree_density,n_species
310,Bay Ridge and Dyker Heights (CD10),3,111345733.899,0.9907612356847272,10391,93.32194091446301,94
411,Bayside and Little Neck (CD11),4,260362937.423,0.9897364374351822,27963,107.40007881601737,108
303,Bedford Stuyvesant (CD3),3,79461502.4768,0.9888964810386061,5854,73.67089493065104,70
206,Belmont and East Tremont (CD6),2,42664311.5086,0.9672914369717016,2721,63.7769579253967,61
311,Bensonhurst (CD11),3,103210761.176,0.9930205506010081,7737,74.96311345680797,84
312,Borough Park (CD12),3,99525499.8,0.9910112359550561,10680,107.30918228455859,89
227,Bronx Park,2,31428497.837299995,1.0,69,2.1954596862122173,14
316,Brownsville (CD16),3,51768917.23729999,0.9829943314438147,2999,57.930514293994,62
304,Bushwick (CD4),3,56662613.1611,0.9782278481012658,3950,69.71086894227027,57
110,Central Harlem (CD10),1,39086189.7647,0.986969851814001,3914,100.13767071086728,58
164,Central Park,1,38312378.4704,0.875,8,0.20880979775716013,7
104,Clinton and Chelsea (CD4),1,49311989.5963,0.9864416159380188,3614,73.28846452123618,50
313,Coney Island (CD13),3,88175872.5817,0.9926366468422543,3531,40.04496804642705,52
481,Corona Park,4,47558881.5222,1.0,23,0.4836110367579573,10
308,Crown Heights and Prospect Heights (CD8),3,45603787.1509,0.984182776801406,3983,87.33923756859292,63
317,East Flatbush (CD17),3,93818779.7374,0.9865190861359444,7047,75.11289338578743,77
111,East Harlem (CD11),1,66146008.8024,0.9815303430079155,3032,45.83798863900597,55
305,East New York and Starrett City (CD5),3,155483680.315,0.9816176470588235,6800,43.734493460816175,67
404,Elmhurst and Corona (CD4),4,65739661.969,0.9802052785923754,6820,103.74254743226425,81
101,Financial District (CD1),1,41700790.304,0.9856801909307876,1676,40.19108481594498,31
314,Flatbush and Midwood (CD14),3,82174171.9209,0.9904329339002705,10348,125.92764561060471,92
318,Flatlands and Canarsie (CD18),3,235420427.179,0.9909110465741637,18594,78.98210118301334,102
407,Flushing and Whitestone (CD7),4,328288556.705,0.9876408217362491,30180,91.93131890710323,103
205,Fordham and University Heights (CD5),2,38316975.1292,0.9553429027113237,2508,65.45401852686287,58
482,Forest Park,4,24258020.5392,0.9611650485436893,103,4.246018335814172,19
302,Fort Greene and Brooklyn Heights (CD2),3,79329462.807,0.990192380233874,7953,100.25279030754045,89
595,Great Kills Park,5,54565276.9087,0.9637681159420289,138,2.529080906725812,22
301,Greenpoint and Williamsburg (CD1),3,131703277.74200001,0.987692996196017,8938,67.86467393400099,70
102,Greenwich Village and Soho (CD2),1,37689203.7076,0.9925925925925926,4185,111.03975643709602,67
204,Highbridge and Concourse (CD4),2,55522140.3262,0.966551724137931,2900,52.23141584532066,54
408,Hillcrest and Fresh Meadows (CD8),4,207557186.748,0.9870538477408707,19388,93.41040078529981,104
202,Hunts Point and Longwood (CD2),2,61808788.85570001,0.9666370106761566,2248,36.3702321565987,54
483,JFK Airport,4,191997989.517,1.0,15,0.07812581807619326,5
403,Jackson Heights (CD3),4,83489684.8837,0.9834828711256117,9808,117.47559011226849,80
412,Jamaica and Hollis (CD12),4,267333306.426,0.9844506878511916,20644,77.22195290961407,105
409,Kew Gardens and Woodhaven (CD9),3,107378329.661,0.9837338262476895,10820,100.76521057982004,89
207,Kingsbridge Heights and Bedford (CD7),2,53311689.1,0.9819601507808293,3714,69.66577241687884,65
480,LaGuardia Airport,4,32763528.3673,1.0,15,0.4578261483879409,5
401,Long Island City and Astoria (CD1),4,171488853.694,0.9841582209977369,10163,59.263326922311684,86
103,Lower East Side and Chinatown (CD3),1,46879760.9173,0.9821840976575388,3031,64.65476659206836,53
105,Midtown (CD5),1,43790297.04980001,0.9839055793991416,1864,42.56650732193453,41
109,Morningside Heights and Hamilton Heights (CD9),1,41895712.1455,0.9821922014123426,3257,77.74065252044733,54
211,Morris Park and Bronxdale (CD11),2,100317185.617,0.9865559077494808,9149,91.20072441954142,92
203,Morrisania and Crotona (CD3),2,44796870.5429,0.9669540229885057,2088,46.61039877775421,52
201,Mott Haven and Melrose (CD1),2,60400029.6503,0.9722543352601156,1730,28.642370045449262,51
306,Park Slope and Carroll Gardens (CD6),3,85501561.5757,0.9922246220302375,9260,108.3021155327266,88
209,Parkchester and Soundview (CD9),2,114284865.498,0.9844371433512018,5783,50.60162581283524,62
228,Pelham Bay Park,2,92824293.4806,1.0,1,0.010773041867633467,1
355,Prospect Park,3,26143730.475,0.9507389162561576,203,7.764767931421233,30
413,Queens Village (CD13),4,350469473.678,0.9857514088002569,34249,97.72320436520208,129
406,Rego Park and Forest Hills (CD6),4,82702342.0165,0.9895389383959705,10324,124.83322416601277,92
405,Ridgewood and Maspeth (CD5),3,210395687.55,0.9815317472989515,18789,89.30316119495006,113
208,Riverdale and Fieldston (CD8),2,92071723.6338,0.9863112391930836,6940,75.37601910878412,84
414,Rockaway and Broad Channel (CD14),4,195551377.351,0.9805914972273567,8656,44.26458211267482,92
315,Sheepshead Bay (CD15),3,131639462.063,0.992215088282504,12460,94.65246822443635,91
502,South Beach and Willowbrook (CD2),5,591528782.815,0.9887338368966841,23433,39.61430226351073,96
309,South Crown Heights and Lefferts Gardens (CD9),3,45315422.736,0.9883132060771328,5134,113.29476125401757,80
410,South Ozone Park and Howard Beach (CD10),4,172080394.211,0.9854463130659767,15460,89.84172816947057,95
501,St. George and Stapleton (CD1),5,377210234.446,0.9851640513552068,21030,55.75140353995506,112
106,Stuyvesant Town and Turtle Bay (CD6),1,38733647.9252,0.9904006677796328,4792,123.71672322870315,58
307,Sunset Park (CD7),3,104126845.792,0.9875740776142229,5231,50.236804545575644,71
210,Throgs Neck and Co-op City (CD10),2,179092602.906,0.9869499568593615,9272,51.772099179699666,96
503,Tottenville and Great Kills (CD3),5,600326986.825,0.9875744032707378,49897,83.11637007007542,113
108,Upper East Side (CD8),1,55218662.6727,0.9889225746268657,8576,155.30980985238452,71
107,Upper West Side (CD7),1,53152583.3496,0.988376598217745,7743,145.6749514707881,70
226,Van Cortlandt Park,2,50565988.4005,0.9469026548672567,113,2.2347036728522176,20
112,Washington Heights and Inwood (CD12),1,77964305.7894,0.9801075268817204,3720,47.71414254682904,60
212,Williamsbridge and Baychester (CD12),2,154906824.018,0.9847519582245431,9575,61.81135053732297,83
402,Woodside and Sunnyside (CD2),3,139964996.678,0.9843536570222278,8053,57.53581389014377,90
